,experiment
G343_Watkins07_AVR_r17115_B_D0-SIV_RNA1_Lib1_GL102_S41_nohmrRNA_noglobinLog,28248301
G276_Watkins07_Unvax_r17103_B_D7-SIV_RNA1_Lib1_GL104_S87_nohmrRNA_noglobinLog,37284902
G209_Watkins07_AVR_r08014_B_D168_RNA1_Lib1_GL105_S60_nohmrRNA_noglobinLog,55261673
G279_Watkins07_Unvax_r17039_B_D0-SIV_RNA1_Lib1_GL102_S70_nohmrRNA_noglobinLog,36881611
G280_Watkins07_Unvax_r17103_B_D10-SIV_RNA1_Lib1_GL102_S101_nohmrRNA_noglobinLog,38997875
G278_Watkins07_AVR_r17017_B_D0-SIV_RNA1_Lib1_GL104_S33_nohmrRNA_noglobinLog,39257397
G281_Watkins07_Unvax_r18067_B_D10-SIV_RNA1_Lib1_GL104_S59_nohmrRNA_noglobinLog,38617410
G282_Watkins07_AVR_r17017_B_D3-SIV_RNA1_Lib1_GL102_S50_nohmrRNA_noglobinLog,37645541
G283_Watkins07_Unvax_r17039_B_D3-SIV_RNA1_Lib1_GL102_S89_nohmrRNA_noglobinLog,35608824
G284_Watkins07_Unvax_r17103_B_D14-SIV_RNA1_Lib1_GL104_S38_nohmrRNA_noglobinLog,35116278
G286_Watkins07_AVR_r17017_B_D7-SIV_RNA1_Lib1_GL104_S93_nohmrRNA_noglobinLog,41413898
G344_Watkins07_AVR_r17115_B_D3-SIV_RNA1_Lib1_GL102_S76_nohmrRNA_noglobinLog,26978235
G285_Watkins07_Unvax_r18067_B_D14-SIV_RNA1_Lib1_GL104_S34_nohmrRNA_noglobinLog,39613820
G210_Watkins07_AVR_r14065_B_D168_RNA2_Lib1_GL104_S2_nohmrRNA_noglobinLog,34294937
G287_Watkins07_Unvax_r17039_B_D7-SIV_RNA1_Lib1_GL102_S73_nohmrRNA_noglobinLog,33064977
G289_Watkins07_Unvax_r17039_B_D10-SIV_RNA3_Lib1_GL102_S21_nohmrRNA_noglobinLog,36435132
G288_Watkins07_AVR_r17017_B_D10-SIV_RNA1_Lib1_GL102_S64_nohmrRNA_noglobinLog,28747805
G292_Watkins07_Unvax_r12048_B_D0-SIV_RNA1_Lib1_GL104_S68_nohmrRNA_noglobinLog,42882348
G290_Watkins07_AVR_r17017_B_D14-SIV_RNA1_Lib1_GL105_S59_nohmrRNA_noglobinLog,46429870
G291_Watkins07_Unvax_r17039_B_D14-SIV_RNA1_Lib1_GL102_S15_nohmrRNA_noglobinLog,35158572
G295_Watkins07_AVR_rh3032_B_D0-SIV_RNA1_Lib1_GL104_S47_nohmrRNA_noglobinLog,35956071
G346_Watkins07_AVR_r17115_B_D10-SIV_RNA1_Lib1_GL104_S95_nohmrRNA_noglobinLog,38617883
G294_Watkins07_Unvax_r12048_B_D7-SIV_RNA1_Lib1_GL105_S69_nohmrRNA_noglobinLog,48803935
G293_Watkins07_Unvax_r12048_B_D3-SIV_RNA1_Lib1_GL102_S27_nohmrRNA_noglobinLog,32366663
G345_Watkins07_AVR_r17115_B_D7-SIV_RNA1_Lib1_GL104_S66_nohmrRNA_noglobinLog,35242159
G296_Watkins07_AVR_rh3033_B_D0-SIV_RNA1_Lib1_GL102_S66_nohmrRNA_noglobinLog,31482103
G298_Watkins07_AVR_rh3032_B_D3-SIV_RNA1_Lib1_GL104_S31_nohmrRNA_noglobinLog,39216535
G297_Watkins07_Unvax_r12048_B_D10-SIV_RNA1_Lib1_GL105_S71_nohmrRNA_noglobinLog,41305677
G211_Watkins07_AVR_r16007_B_D168_RNA1_Lib1_GL102_S105_nohmrRNA_noglobinLog,47602614
G300_Watkins07_Unvax_r05035_B_D0-SIV_RNA1_Lib1_GL105_S80_nohmrRNA_noglobinLog,43473235
G299_Watkins07_AVR_rh3033_B_D3-SIV_RNA1_Lib1_GL104_S54_nohmrRNA_noglobinLog,40446067
G301_Watkins07_Unvax_r05035_B_D3-SIV_RNA1_Lib1_GL102_S61_nohmrRNA_noglobinLog,33327751
G304_Watkins07_Unvax_r05035_B_D14-SIV_RNA1_Lib1_GL104_S64_nohmrRNA_noglobinLog,42981250
G303_Watkins07_Unvax_r05035_B_D10-SIV_RNA1_Lib1_GL104_S77_nohmrRNA_noglobinLog,54766579
G302_Watkins07_Unvax_r05035_B_D7-SIV_RNA1_Lib1_GL104_S101_nohmrRNA_noglobinLog,35572285
G307_Watkins07_Unvax_r14010_B_D3-SIV_RNA1_Lib2_GL105_S92_nohmrRNA_noglobinLog,33097133
G349_Watkins07_Unvax_r18066_B_D3-SIV_RNA1_Lib1_GL104_S39_nohmrRNA_noglobinLog,41373581
G306_Watkins07_Unvax_r14010_B_D0-SIV_RNA1_Lib1_GL102_S71_nohmrRNA_noglobinLog,41324005
G305_Watkins07_Unvax_r12048_B_D14-SIV_RNA1_Lib1_GL104_S11_nohmrRNA_noglobinLog,31616213
G308_Watkins07_Unvax_r14010_B_D7-SIV_RNA1_Lib1_GL104_S44_nohmrRNA_noglobinLog,34424775
G309_Watkins07_Unvax_r14010_B_D10-SIV_RNA1_Lib1_GL104_S57_nohmrRNA_noglobinLog,42336441
G310_Watkins07_Unvax_r14010_B_D14-SIV_RNA1_Lib1_GL102_S99_nohmrRNA_noglobinLog,40519816
G312_Watkins07_AVR_r14065_B_D4-SIV_RNA1_Lib1_GL102_S96_nohmrRNA_noglobinLog,36658194
G311_Watkins07_AVR_r14065_B_D0-SIV_RNA1_Lib1_GL105_S95_nohmrRNA_noglobinLog,42992690
G313_Watkins07_AVR_r14065_B_D7-SIV_RNA1_Lib1_GL102_S80_nohmrRNA_noglobinLog,42726039
G212_Watkins07_AVR_r17017_B_D168_RNA1_Lib1_GL102_S86_nohmrRNA_noglobinLog,38429086
G386_Watkins07_Unvax_rh2861_B_D10-SIV_RNA1_Lib1_GL104_S30_nohmrRNA_noglobinLog,35999805
G316_Watkins07_Unvax_r14095_B_D0-SIV_RNA1_Lib1_GL102_S75_nohmrRNA_noglobinLog,34672547
G348_Watkins07_Unvax_r18066_B_D0-SIV_RNA1_Lib1_GL105_S89_nohmrRNA_noglobinLog,44864927
G315_Watkins07_AVR_r14065_B_D14-SIV_RNA1_Lib1_GL105_S77_nohmrRNA_noglobinLog,48183743
G314_Watkins07_AVR_r14065_B_D10-SIV_RNA1_Lib1_GL102_S102_nohmrRNA_noglobinLog,43934212
G347_Watkins07_AVR_r17115_B_D14-SIV_RNA1_Lib1_GL104_S83_nohmrRNA_noglobinLog,44500331
G317_Watkins07_Unvax_r14095_B_D3-SIV_RNA1_Lib1_GL104_S49_nohmrRNA_noglobinLog,37466059
G319_Watkins07_Unvax_r14095_B_D10-SIV_RNA1_Lib1_GL102_S82_nohmrRNA_noglobinLog,38839345
G318_Watkins07_Unvax_r14095_B_D7-SIV_RNA1_Lib1_GL105_S62_nohmrRNA_noglobinLog,47465908
G320_Watkins07_Unvax_r14095_B_D14-SIV_RNA1_Lib1_GL104_S103_nohmrRNA_noglobinLog,36916541
G322_Watkins07_Unvax_r15057_B_D4-SIV_RNA1_Lib1_GL102_S8_nohmrRNA_noglobinLog,40575772
