file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G209_Watkins07_AVR_r08014_B_D168_RNA1_Lib1_GL105_S60_rRNA_globinfilter.log	60443798	12244	0.02	97425	0.16	10260	0.02	178644	0.15	223217	0.19	0.53
../logs/rRNA_globinfilter/G210_Watkins07_AVR_r14065_B_D168_RNA2_Lib1_GL104_S2_rRNA_globinfilter.log	38684795	43188	0.11	453228	1.17	71368	0.19	184649	0.24	427975	0.56	2.26
../logs/rRNA_globinfilter/G211_Watkins07_AVR_r16007_B_D168_RNA1_Lib1_GL102_S105_rRNA_globinfilter.log	51937143	10351	0.02	76350	0.15	6423	0.01	156489	0.15	191766	0.18	0.51
../logs/rRNA_globinfilter/G212_Watkins07_AVR_r17017_B_D168_RNA1_Lib1_GL102_S86_rRNA_globinfilter.log	42130126	8305	0.02	68223	0.16	6059	0.01	133834	0.16	164186	0.20	0.55
../logs/rRNA_globinfilter/G213_Watkins07_AVR_r17115_B_D168_RNA1_Lib1_GL104_S25_rRNA_globinfilter.log	35889879	6052	0.02	48885	0.14	3519	0.01	106737	0.15	132723	0.19	0.50
../logs/rRNA_globinfilter/G214_Watkins07_AVR_rh2932_B_D168_RNA1_Lib1_GL102_S7_rRNA_globinfilter.log	39833358	5852	0.01	48906	0.12	3858	0.01	96913	0.12	124254	0.16	0.42
../logs/rRNA_globinfilter/G215_Watkins07_AVR_rh2943_B_D168_RNA1_Lib1_GL104_S42_rRNA_globinfilter.log	35810359	5199	0.01	40036	0.11	3062	0.01	92207	0.13	117407	0.16	0.43
../logs/rRNA_globinfilter/G216_Watkins07_AVR_rh3006_B_D168_RNA1_Lib1_GL102_S11_rRNA_globinfilter.log	37223896	6816	0.02	52729	0.14	5080	0.01	106781	0.14	132296	0.18	0.49
../logs/rRNA_globinfilter/G217_Watkins07_AVR_rh3011_B_D168_RNA1_Lib1_GL102_S31_rRNA_globinfilter.log	48987704	9200	0.02	75669	0.15	5996	0.01	133033	0.14	165731	0.17	0.49
../logs/rRNA_globinfilter/G218_Watkins07_AVR_rh3032_B_D168_RNA1_Lib1_GL102_S62_rRNA_globinfilter.log	35669345	5790	0.02	51243	0.14	4058	0.01	116112	0.16	146527	0.21	0.54
../logs/rRNA_globinfilter/G219_Watkins07_AVR_rh3033_B_D168_RNA1_Lib1_GL104_S51_rRNA_globinfilter.log	41670724	4531	0.01	37233	0.09	2799	0.01	112809	0.14	141333	0.17	0.41
../logs/rRNA_globinfilter/G220_Watkins07_AVR_rh3036_B_D168_RNA1_Lib1_GL104_S50_rRNA_globinfilter.log	37291500	5655	0.02	44266	0.12	3390	0.01	95902	0.13	120613	0.16	0.43
../logs/rRNA_globinfilter/G221_Watkins07_AVR_rh3037_B_D168_RNA1_Lib1_GL105_S57_rRNA_globinfilter.log	45434278	8283	0.02	60598	0.13	4963	0.01	143335	0.16	173070	0.19	0.51
../logs/rRNA_globinfilter/G222_Watkins07_AVR_rh3045_B_D168_RNA1_Lib1_GL102_S4_rRNA_globinfilter.log	36413871	6773	0.02	55170	0.15	4737	0.01	123046	0.17	154657	0.21	0.56
../logs/rRNA_globinfilter/G223_Watkins07_AVR_rh3048_B_D168_RNA1_Lib1_GL104_S53_rRNA_globinfilter.log	45455290	7774	0.02	60218	0.13	5046	0.01	132125	0.15	159703	0.18	0.48
../logs/rRNA_globinfilter/G224_Watkins07_AVR_rh3053_B_D168_RNA1_Lib1_GL104_S23_rRNA_globinfilter.log	34302905	6042	0.02	49104	0.14	3768	0.01	105046	0.15	128450	0.19	0.51
../logs/rRNA_globinfilter/G225_Watkins07_AVR_r08014_B_D196_RNA1_Lib1_GL104_S96_rRNA_globinfilter.log	43124812	5891	0.01	44879	0.10	3569	0.01	105381	0.12	130987	0.15	0.40
../logs/rRNA_globinfilter/G226_Watkins07_AVR_r14065_B_D196_RNA1_Lib1_GL104_S102_rRNA_globinfilter.log	50065314	12264	0.02	94696	0.19	6990	0.01	149317	0.15	178455	0.18	0.55
../logs/rRNA_globinfilter/G227_Watkins07_AVR_r16007_B_D196_RNA1_Lib1_GL102_S77_rRNA_globinfilter.log	38231944	6548	0.02	56247	0.15	4416	0.01	118156	0.15	143911	0.19	0.52
../logs/rRNA_globinfilter/G228_Watkins07_AVR_r17017_B_D196_RNA1_Lib1_GL105_S70_rRNA_globinfilter.log	43683440	6606	0.02	48744	0.11	4009	0.01	113497	0.13	142144	0.16	0.43
../logs/rRNA_globinfilter/G229_Watkins07_AVR_r17115_B_D196_RNA1_Lib1_GL104_S105_rRNA_globinfilter.log	42510149	6838	0.02	49793	0.12	4757	0.01	116437	0.14	145414	0.17	0.45
../logs/rRNA_globinfilter/G230_Watkins07_AVR_rh2932_B_D196_RNA1_Lib1_GL102_S32_rRNA_globinfilter.log	41641063	6151	0.01	52498	0.13	3818	0.01	104477	0.13	135264	0.16	0.44
../logs/rRNA_globinfilter/G231_Watkins07_AVR_rh2943_B_D196_RNA1_Lib1_GL105_S96_rRNA_globinfilter.log	53418513	9365	0.02	61789	0.12	5936	0.01	141138	0.13	172643	0.16	0.44
../logs/rRNA_globinfilter/G232_Watkins07_AVR_rh3006_B_D196_RNA1_Lib1_GL105_S79_rRNA_globinfilter.log	47823485	7375	0.02	58846	0.12	4389	0.01	134393	0.14	163564	0.17	0.46
../logs/rRNA_globinfilter/G233_Watkins07_AVR_rh3011_B_D196_RNA1_Lib1_GL105_S73_rRNA_globinfilter.log	49954887	6728	0.01	59854	0.12	4229	0.01	137298	0.14	168639	0.17	0.45
../logs/rRNA_globinfilter/G234_Watkins07_AVR_rh3032_B_D196_RNA1_Lib1_GL104_S22_rRNA_globinfilter.log	35518619	6888	0.02	58522	0.16	3704	0.01	106300	0.15	135035	0.19	0.53
../logs/rRNA_globinfilter/G235_Watkins07_AVR_rh3033_B_D196_RNA1_Lib1_GL104_S85_rRNA_globinfilter.log	36755410	6232	0.02	49963	0.14	4174	0.01	116532	0.16	137978	0.19	0.51
../logs/rRNA_globinfilter/G236_Watkins07_AVR_rh3036_B_D196_RNA1_Lib1_GL102_S37_rRNA_globinfilter.log	39123072	6153	0.02	53424	0.14	4056	0.01	123806	0.16	159348	0.20	0.52
../logs/rRNA_globinfilter/G237_Watkins07_AVR_rh3037_B_D196_RNA1_Lib1_GL102_S68_rRNA_globinfilter.log	33510264	5656	0.02	47937	0.14	4131	0.01	101119	0.15	131819	0.20	0.52
../logs/rRNA_globinfilter/G238_Watkins07_AVR_rh3045_B_D196_RNA1_Lib1_GL104_S91_rRNA_globinfilter.log	41816835	6900	0.02	56824	0.14	4303	0.01	140087	0.17	169986	0.20	0.53
../logs/rRNA_globinfilter/G239_Watkins07_AVR_rh3048_B_D196_RNA1_Lib1_GL102_S79_rRNA_globinfilter.log	35845627	5815	0.02	46759	0.13	3913	0.01	97441	0.14	122310	0.17	0.46
../logs/rRNA_globinfilter/G240_Watkins07_AVR_rh3053_B_D196_RNA1_Lib1_GL102_S18_rRNA_globinfilter.log	32450692	5591	0.02	44213	0.14	3955	0.01	101579	0.16	130431	0.20	0.52
../logs/rRNA_globinfilter/G241_Watkins07_AVR_r08014_B_D224_RNA1_Lib1_GL105_S98_rRNA_globinfilter.log	47975162	6730	0.01	61760	0.13	4059	0.01	133864	0.14	170409	0.18	0.47
../logs/rRNA_globinfilter/G242_Watkins07_AVR_r14065_B_D224_RNA1_Lib1_GL102_S54_rRNA_globinfilter.log	33833882	4196	0.01	39140	0.12	2704	0.01	85955	0.13	108576	0.16	0.42
../logs/rRNA_globinfilter/G243_Watkins07_AVR_r16007_B_D224_RNA1_Lib1_GL102_S33_rRNA_globinfilter.log	33728828	7176	0.02	62570	0.19	4471	0.01	98592	0.15	129815	0.19	0.56
../logs/rRNA_globinfilter/G244_Watkins07_AVR_r17017_B_D224_RNA2_Lib1_GL102_S100_rRNA_globinfilter.log	47008505	8416	0.02	68139	0.14	6118	0.01	149563	0.16	182191	0.19	0.53
../logs/rRNA_globinfilter/G245_Watkins07_AVR_r17115_B_D224_RNA1_Lib1_GL102_S59_rRNA_globinfilter.log	35285556	5237	0.01	42677	0.12	3409	0.01	92192	0.13	119096	0.17	0.44
../logs/rRNA_globinfilter/G246_Watkins07_AVR_rh2932_B_D224_RNA1_Lib1_GL102_S2_rRNA_globinfilter.log	37737510	5170	0.01	41531	0.11	3152	0.01	93250	0.12	120777	0.16	0.42
../logs/rRNA_globinfilter/G247_Watkins07_AVR_rh2943_B_D224_RNA1_Lib1_GL104_S82_rRNA_globinfilter.log	31300960	5118	0.02	38109	0.12	3306	0.01	83426	0.13	104385	0.17	0.45
../logs/rRNA_globinfilter/G248_Watkins07_AVR_rh3006_B_D224_RNA1_Lib1_GL102_S22_rRNA_globinfilter.log	41955384	7827	0.02	60866	0.15	5259	0.01	119271	0.14	147912	0.18	0.49
../logs/rRNA_globinfilter/G249_Watkins07_AVR_rh3011_B_D224_RNA1_Lib1_GL102_S53_rRNA_globinfilter.log	36215695	5733	0.02	52293	0.14	3152	0.01	89401	0.12	115962	0.16	0.45
../logs/rRNA_globinfilter/G250_Watkins07_AVR_rh3032_B_D224_RNA1_Lib1_GL102_S84_rRNA_globinfilter.log	40939161	6961	0.02	57407	0.14	5237	0.01	127819	0.16	166228	0.20	0.53
